[13:42:57] [ServerMain/INFO]: Building unoptimized datafixer
[13:42:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:43:04] [ServerMain/INFO]: Loaded 7 recipes
[13:43:05] [ServerMain/INFO]: Loaded 1179 advancements
[13:43:06] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[13:43:19] [Server thread/INFO]: Starting minecraft server version 1.19.2
[13:43:19] [Server thread/INFO]: Loading properties
[13:43:19] [Server thread/INFO]: Default game type: SURVIVAL
[13:43:19] [Server thread/INFO]: Generating keypair
[13:43:19] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at afh$1.run(SourceFile:92) [server-1.19.2.jar:?]
[13:43:20] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:43:22] [Server thread/INFO]: Using default channel type
[13:43:22] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:43:22] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:43:22] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:43:22] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[13:43:23] [Server thread/INFO]: Preparing level "world"
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:44:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:44:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:44:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:44:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:44:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:44:02] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:44:03] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:44:03] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[13:44:04] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[13:44:04] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[13:44:05] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[13:44:05] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[13:44:06] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[13:44:06] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[13:44:07] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[13:44:07] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[13:44:08] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[13:44:08] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[13:44:09] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[13:44:09] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[13:44:10] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[13:44:10] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[13:44:11] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[13:44:11] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[13:44:12] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[13:44:12] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[13:44:13] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[13:44:13] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[13:44:14] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[13:44:14] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[13:44:15] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[13:44:15] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[13:44:16] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[13:44:16] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[13:44:17] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[13:44:17] [Worker-Main-3/INFO]: Preparing spawn area: 35%
[13:44:18] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[13:44:18] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[13:44:19] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[13:44:19] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[13:44:20] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[13:44:20] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[13:44:21] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[13:44:21] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[13:44:22] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[13:44:22] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[13:44:23] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[13:44:23] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[13:44:24] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[13:44:24] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[13:44:25] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[13:44:25] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[13:44:26] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[13:44:26] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[13:44:27] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[13:44:27] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[13:44:28] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[13:44:28] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[13:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[13:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[13:44:30] [Worker-Main-3/INFO]: Preparing spawn area: 71%
[13:44:30] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[13:44:31] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[13:44:31] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[13:44:32] [Worker-Main-3/INFO]: Preparing spawn area: 76%
[13:44:32] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[13:44:33] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[13:44:33] [Worker-Main-3/INFO]: Preparing spawn area: 80%
[13:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[13:44:34] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[13:44:35] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[13:44:35] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[13:44:36] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[13:44:36] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[13:44:37] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[13:44:37] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[13:44:38] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[13:44:38] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[13:44:39] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[13:44:39] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[13:44:39] [Server thread/INFO]: Time elapsed: 76259 ms
[13:44:39] [Server thread/INFO]: Done (76.734s)! For help, type "help"
[13:45:06] [Server thread/INFO]: Stopping the server
[13:45:06] [Server thread/INFO]: Stopping server
[13:45:06] [Server thread/INFO]: Saving players
[13:45:06] [Server thread/INFO]: Saving worlds
[13:45:07] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[13:45:11] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[13:45:11] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[13:45:11] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[13:45:11] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[13:45:11] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[13:45:11] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
